-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104
0,-7.1376249805,10.9262581969,0.000823757,0.2085872472,8.7875196682,304.5169093023,0.0014775231,9.7381091269,-12.8292663797,116.9395164283,2.4559503914341E-05,7.8122574533,21.3895404896,264.3579241474,0.0010882171,10.5154209022,-9.6426568227,169.750711632,-0.0033929285,8.6424460036,9.8955811945,607.6774445739,0.0018657439,17.6670567319,-20.5402239964,167.3628557403,4.5998180745938E-05,10.3215869411,14.2190291698,241.9321806001,-0.0002460656,10.948957021,-18.6127543858,135.2387507584,0.00138549,7.7848359073,6.4433848005,228.5052705809,3.3552348822701E-05,10.3666941112,2.7119885311,138.3084870645,0.0017699639,9.0007205685,-3.5055381391,159.5520697995,-0.0003243859,7.5509551918,0.2492736597,83.1599454327,0.0001433006,5.7643689626,-11.6971879002,7.8394805402,-11.4095273084,17.4865902298,-11.2756467046,22.8188486846,-11.4193775463,24.2206700041,-11.3917285984,26.4269629682,-11.8210190849,24.2819080896,-12.2414210039,21.0157579635,-12.3508252058,18.6919818317,-12.5203199748,17.4845260251,-12.1684455626,16.6787497655,-11.8137160816,15.8166169171,-11.8141511323,14.5707463102,-11.6093842921,13.8111598913,-11.5301260465,13.0430603002,-11.2640655532,11.8920797398,-10.8860204313,11.8574244951,-10.8421576189,11.2249004982,-11.8986433868,6.458186739,-12.3858234492,4.0448535915,-12.1620727906,4.0563348774,-12.0691170943,3.9397545572,-11.9280764906,3.4394124747,-12.0480614373,3.2217443115,-13.675513897,3.5867385921,-16.6115023022,9.7061065144,-16.7013046294,10.5837688094,0
1,-9.4256998401,9.5496496115,0.0004807747,0.3070920482,4.2612560869,391.6565226567,0.0023184801,18.7336290967,-15.5176887326,224.6889801677,-0.003178807,12.0553438133,14.6927613973,223.8707516048,-0.0008482222,12.4730034711,-8.2843605776,198.8164384354,0.002439808,10.8103806917,8.2299220436,454.6654756081,-0.0061361334,25.595701555,-39.6505140365,212.1062562466,0.0009434321,15.0379473276,-9.8866717221,375.4838870227,-0.0041085647,21.7385078591,-19.6465923471,164.9212805205,0.0002959252,12.0459453568,2.1631173284,150.1592991421,-0.0035371496,10.6501497818,-15.3504376085,112.8238109358,-0.0028780469,9.015160376,-17.327676573,152.2690975629,-0.0027979712,9.7534089511,-2.3769531088,67.8399273858,-0.0004444587,5.8232776654,-17.0031198582,13.9308501734,-16.0956343235,17.1222171356,-13.0812156709,24.7893191137,-13.333447195,22.2666670521,-14.549428238,20.5287833131,-15.064435096,18.5505729299,-15.3586077528,16.076743855,-15.5305253628,13.3777183351,-15.9441253652,10.6386509422,-15.7118683773,10.2045856582,-14.2242955593,12.6855961823,-13.4385046328,12.7094502555,-12.9753860248,11.8927579944,-13.7235654229,9.7222644658,-14.5897164544,7.2350403217,-14.1337039986,7.5873064235,-14.6985040484,5.0961420079,-14.3859017258,4.8624778029,-14.6262349879,4.5828041316,-14.9360485994,4.3519789777,-14.5415677098,5.7880593249,-14.3004901262,6.8361584249,-14.5897943241,6.1687329732,-16.1382278727,5.9637736564,-18.7571905569,9.6333482356,-18.7904238675,10.1837563648,0
2,-10.0125821974,9.6688682773,1.47021796554275E-05,0.2783326524,4.4974148975,267.9354800949,0.0013945241,10.2676405549,-13.3295060673,152.3320139866,0.0016145711,10.0540847951,19.0330634337,268.460202891,0.0009918311,11.8521292211,-26.8792520732,230.7798043845,0.0014490463,14.1398557819,10.7803095822,443.7525997525,0.0011861335,18.5933776242,-23.6186873011,206.3193292241,0.0007628754,12.87903097,5.2728401558,449.4701555379,0.000799287,18.5750089759,-11.0071277632,172.5721873645,-0.0025177378,12.6049844233,-1.6586817174,284.5469561787,-0.0031329538,12.2739849054,-2.6828987752,116.2455076116,-0.0011291527,9.4784217562,-5.7952350275,163.3244349505,-0.0002805919,9.001357424,-3.9507995484,103.2055101,-0.0002776362,6.4049882781,-16.2037756058,7.7430167236,-15.8487754543,11.9553037201,-14.1848331577,23.5084712933,-14.5487297761,19.7913355111,-14.5165576927,22.8034992641,-14.5789083324,23.259199216,-14.6557116028,21.3817329016,-14.9336778106,18.1161486055,-15.2640524807,15.9938326017,-15.2440782929,13.9753226714,-15.1385530442,12.4661376741,-15.0287313154,11.6012002577,-14.8117282821,10.2148827769,-14.9180682408,8.5382307028,-14.7161113486,7.8469919491,-14.1325795184,8.6688944827,-14.3058440706,7.0580640291,-14.5183028481,5.6839735465,-13.9665110477,7.0396061844,-13.800265323,6.7965447256,-13.7681690651,6.8842783793,-14.2587024327,5.1694921317,-14.9374803443,4.1039444248,-16.6952698881,3.8458432011,-19.4051268031,8.987781072,-19.4614151758,9.7154635605,0
3,-11.098143642,5.9817073706,-0.0001103937,0.192367915,3.2276593226,283.7529450234,-0.0018977288,11.0386955618,-12.095729241,139.4769798382,0.0060141781,8.5104004004,20.0617287535,278.8286802817,-0.0026351617,12.9205344851,-22.1552024175,127.568162355,0.0028912849,9.483849249,11.5448223637,469.9861283898,-0.0035524245,20.7210396551,-26.2067391095,195.5140378871,0.0069921832,13.7133818613,9.3147736487,313.9023486066,-0.0035130172,15.660481156,-14.1366649805,197.4478221448,-0.0005837313,14.5496407345,1.6715750692,241.3953562635,-0.0089549037,12.7647915793,-8.3157068672,113.8302287802,0.0007665074,9.8494921922,-1.821037258,114.5458514979,0.0010876769,8.0297945362,-3.3790806094,125.8991499274,-0.002256945,6.5303503507,-17.2243980221,5.3863209016,-16.4235856146,11.556556682,-15.4140762852,17.0433264426,-15.6271284744,15.9535951083,-15.7495241321,17.8961579912,-15.8261490441,16.5451379823,-16.128393703,14.2244312242,-16.265862616,11.5840117602,-16.483587099,9.3219328886,-16.4510530607,8.8385482518,-16.3951696389,8.5778136348,-16.1657388616,7.6223666505,-15.6659420794,6.8343410036,-15.7452421888,5.7496092609,-15.4701100211,4.9983874447,-15.2235085576,5.0756793474,-15.4292550851,3.8854241443,-15.5204284726,3.0817454898,-15.0697001729,4.0709745701,-14.9849541913,4.0770913587,-15.0744984792,4.2625525655,-15.2690739037,3.5629378428,-15.347409592,3.0516393742,-17.019342877,3.0156414737,-20.3956113261,6.187089909,-20.5180417081,6.6450600876,0
4,-7.7481083489,8.2694064801,-0.0001281232,0.2147465148,3.9683890176,278.9018170727,-0.0025877097,11.4614996295,-12.9416395858,100.5431564492,0.0025232425,7.1597517924,22.6814060359,278.0828946884,0.0017659315,11.6060915568,-13.3064831224,151.9002705251,0.0005620925,10.4615892819,16.1492987142,424.5495310461,0.0011139433,15.4207570487,-22.3019296018,174.0779996944,0.0032672102,10.9480674818,21.024213211,176.4980151555,0.0026220061,10.4788848041,-14.1398578118,165.2390131349,0.0018882881,10.5946293433,13.3126549578,168.3598104616,-0.002107285,9.6495981545,0.9538685012,96.9043078309,-0.0026754503,8.0814870732,-0.8203396197,125.3170582014,0.0009863516,7.2322382557,2.666574938,73.8147408109,0.0015207337,6.1899926799,-12.0722962722,5.8996470352,-12.4366999085,13.0284535431,-12.6103164618,17.0449607816,-12.7003084703,18.1199199781,-12.4261976788,19.5375774542,-12.6879217557,18.7982206477,-12.7419034202,16.8612629864,-12.9451623179,15.0161706895,-13.2199684919,14.3411345935,-12.9570722806,12.4948239098,-12.524216923,11.7753300249,-12.3735095662,11.0473357108,-12.0189543892,10.9389493663,-11.9739691549,10.0982591763,-11.7045287527,9.7641985589,-11.4008225079,9.3701981282,-11.465481029,8.5124638393,-12.0037526655,5.9582478262,-12.0606325223,5.3637999123,-12.258729269,4.5741059712,-11.8992956599,4.3834078022,-11.4891891074,4.0199186248,-11.6352636468,3.6927527818,-13.4766486053,3.9406140739,-17.0843321478,7.4843466731,-17.2402892894,8.1224853909,0
5,-6.6263689041,9.9756097219,0.000060256,0.18887267,10.782585897,307.2350592636,0.0005692457,11.1269592899,-11.266963402,105.2084848827,-0.0001008439,7.352838113,19.9409509043,295.0387887025,-0.0012738264,12.4909620172,-9.0358264213,191.9844854123,0.0008591051,9.123749465,8.881094379,581.1789143138,-0.001648872,17.3228464879,-20.0557571536,207.6117356236,0.0006117357,11.9702030975,15.6508374663,201.3643223067,-0.0010736586,10.224908357,-20.4255441242,163.7210166612,0.0014899714,9.3628142638,3.9636427362,260.7482507445,-0.0013248185,11.0973598013,2.7363161379,149.6449739792,0.0007380951,9.750066125,-1.1762281973,142.5517302997,0.0006750911,7.4657298296,0.9262594804,89.1712940073,-0.0011348548,5.8781143217,-10.957472884,6.332362036,-10.6841884721,14.9907844074,-10.540536781,20.8854356335,-10.6135448432,22.9118118728,-10.621977738,24.4348481405,-11.178939642,21.5547307611,-11.6517063739,18.890415292,-11.6934757712,17.2156004969,-11.7900418839,16.2488091318,-11.5093542712,15.1302678682,-11.3216990886,13.6202185099,-11.4652084094,12.430313353,-11.3639445304,12.1435457161,-11.1689771685,11.6577503676,-10.6334335461,11.7134858709,-10.5326292441,10.5722581207,-10.6704464942,9.5518489908,-11.6179564909,5.7668813176,-12.1480749666,3.9919139703,-11.9604662632,3.871228311,-11.8620258002,3.8253771223,-11.590666155,3.5683173562,-11.5765112643,3.5107332409,-13.296325664,3.574061349,-16.1390756038,8.9046089543,-16.2108302224,9.795018252,0
6,-10.4722586492,7.1885794273,0.0001218374,0.2630650936,4.3347900856,284.7600755898,0.0010197878,13.7412649666,-13.8832098261,157.88843323,-0.0007432393,11.3901232264,17.1142449537,314.0884048927,0.0013512452,16.6807752934,-26.1355760446,178.6599396031,0.0001688779,12.6146875739,8.7909578302,494.574939383,-0.0026467069,28.1214298737,-21.4018065886,202.7453434125,-0.0020434993,15.1921749414,5.3312192877,413.0131708986,3.20479407968265E-05,21.9998766285,-13.6683077886,156.4186603822,0.0040865137,13.7028339333,-0.13824744,223.7182797625,0.0014796036,13.1244027271,-8.4915483652,125.2232224088,0.0012201257,9.9816519623,-6.6781933778,163.0127291055,0.0006815987,10.6354985239,-2.1109728283,86.3975504315,-2.12053095884553E-05,6.3198817094,-16.8448826883,6.783882794,-16.7100585828,10.6028159182,-14.685626849,20.2166699821,-14.8904524931,19.8386598729,-15.2427759768,19.5189003954,-15.273036738,19.0947892064,-15.1514588716,18.3628744694,-15.1946368954,16.4925561833,-15.6358372082,13.4059920172,-15.6926761863,11.5481939482,-15.6771900044,10.320130144,-15.571212439,9.3668603508,-15.251604101,8.0346354221,-15.3609596189,6.4621716452,-15.2898239605,5.3121470553,-14.8902397179,5.6026107749,-14.5260815176,5.8648822784,-14.9727083234,4.215327278,-14.4891967713,4.8518639232,-14.5552574437,4.0792485782,-14.6712099459,3.4963017864,-14.9942512638,2.9688206902,-15.3490883669,2.6576454483,-16.991838114,2.4491647894,-19.8255381584,6.568969591,-19.9013438688,7.3028538241,0
7,-9.1122358174,9.0981950991,0.0008391023,0.3112944915,6.6865633754,263.8051819092,0.0039115461,12.7541267083,-15.0455471816,194.8165813858,0.0035845186,11.4829797535,17.7802786967,328.8402090929,-0.009771642,15.0403403441,-23.8705670925,200.8309818263,0.0190091157,12.6147644079,6.5727702803,471.9199138522,-0.0232134493,23.2408596091,-25.6417746554,155.9637896701,-0.001957391,11.7684754632,2.8081487723,410.5615702261,-0.0133611964,19.861083873,-6.632033565,187.3114160606,-0.0052976027,13.1064716499,-3.4699074059,272.7965123162,-0.0176811739,12.9783579849,-3.7481521567,133.6222302375,0.0073338176,9.5369174854,-7.6968489746,136.6478823363,0.0019234772,8.594731546,-6.3477080775,83.8318724652,0.0018668531,6.0546021152,-15.4353814303,6.0612901967,-15.0150562021,9.1145709079,-13.0215809508,19.3224673951,-13.5325435281,16.4784726569,-13.5065125374,19.8311776469,-13.4978327989,21.1425247506,-13.5170335018,20.1043225852,-13.902258229,16.9231397893,-14.4864280022,15.008451164,-14.463287988,14.1171497458,-14.263767267,13.6327126879,-13.9118132109,12.9664820441,-13.5697806733,12.4374175351,-13.7182554253,11.3016028287,-13.7008350092,9.0296734945,-13.2031121297,9.0590225359,-13.6010807143,7.1214670877,-13.986199291,6.230930448,-13.370024419,7.0313079007,-13.1690752181,6.8878525857,-13.2692090984,6.932693371,-13.9468848828,5.2628002281,-14.6169120912,4.5598019411,-16.2560469474,4.4792731773,-18.5711763301,9.1082443632,-18.5985088702,9.8048413551,0
8,-10.6014424342,6.0670070229,-0.000035364,0.246019627,3.8277325694,290.3986018606,4.7006666491085E-05,12.7896363315,-13.3234490751,147.5269195317,0.0024548908,8.9605447333,21.1930597044,295.3942480093,-0.0019944515,14.8314808887,-19.6221046114,128.0039599757,0.0033355369,10.878925991,8.5514007504,503.8198556724,-0.0011437522,26.6295324992,-25.4110800003,208.5066017493,0.0021266413,15.7288463294,9.7117591789,291.6606503844,-0.0032562546,17.5987141176,-12.1857836832,194.1991029338,-0.0005498358,14.5963956336,0.9971068453,211.9632735137,0.001740584,13.3170521592,-9.4878991288,120.9262097316,0.0026473631,9.4737427481,-2.7272505506,114.1836089814,0.0053638987,9.1178960631,-2.2003526908,130.3653921277,-0.000973857,7.6145590023,-16.6649800657,6.0021142357,-15.8689636188,10.9863178829,-14.8524238446,16.3815334431,-15.1533282475,15.5474285733,-15.2974158099,16.9430002665,-15.3062694067,16.331270393,-15.6803222256,13.9351149463,-15.7429486804,11.8197047134,-16.0064551434,9.486004601,-16.0686299285,8.9279558186,-16.0406000095,8.9078829915,-15.6903498775,8.3774401701,-14.9366692995,7.4955791908,-14.9667883878,6.4139381563,-14.8015909864,5.8472909615,-14.5497152176,6.1654707475,-14.7899211782,4.9184010689,-14.9681544249,4.4143565595,-14.6364835477,5.0862797299,-14.6695841543,4.6767487838,-14.7992760025,4.7358309545,-15.0294036904,4.1818108375,-15.1113969802,3.5897887545,-16.7629968332,3.3927402853,-19.8885052958,6.2645352956,-20.0005188683,6.6187561374,0
9,-7.5009134686,8.942674812,-0.000352417,0.2253737021,3.6355076156,302.6227858469,-0.0041975639,12.3143151083,-15.446046336,124.9704068618,-0.0053730334,8.4167951053,22.0190939351,268.3822077956,0.0032389185,11.8495799758,-11.8729983713,153.6033741325,-0.0042869163,10.5146268072,15.7811533047,410.4568986784,0.0026738646,14.979900786,-23.697646994,185.4980699009,-0.0048565084,11.652540912,20.3522173205,178.5090733206,0.0067957272,10.7517158348,-11.7012119385,161.5387246149,-0.0046885849,10.6866305993,14.9356254542,157.6443845273,0.0017803336,8.2795378987,1.9342097898,96.6659116546,-0.0009135028,7.4437504558,-2.1745108431,127.8356766839,9.92464361057558E-05,7.1876608641,1.3719549622,68.1945420953,-0.0048491597,5.9998687367,-12.0441490514,6.0613352753,-12.4091711851,13.8529490159,-12.6142641672,17.4091816592,-12.7001151102,18.4266808501,-12.326561524,19.9399687054,-12.4685248549,19.7654501186,-12.4766562473,17.7939221976,-12.7318714859,15.213765448,-13.0990717532,14.0877278884,-12.7933449271,13.4155514962,-12.1702842877,13.2064410943,-11.7672649178,12.6286916408,-11.508083549,12.5674185573,-11.5355797208,12.058853509,-11.348985648,10.9820422762,-11.0269903257,10.4072309056,-11.2079740485,9.2208885576,-11.8290461456,6.4203415595,-11.8459117834,5.8046066172,-12.0796709805,4.9828537785,-11.6895004769,4.8529581754,-11.3759476768,4.2861195753,-11.5348718747,4.1586128629,-13.3756225199,4.3535688285,-16.9031978868,7.9621230709,-17.0533973506,8.6094998316,0
